OPT_Code,Name,Affiliation,Site_Type,Street_Address,Zip,Longitude,Latitude
5175,PS 175,Public,School,175 WEST 134 STREET,10030,-73.943151,40.814293
5194,CS 194,Public,School,244 WEST 144TH STREET,10030,-73.940977,40.821463
5197,PS 197 JOHN RUSSWURM,Public,School,2230 5TH AVENUE,10037,-73.937414,40.813226
5200,PS 200 JAMES MCCUNE SMITH,Public,School,2589 7TH AVENUE,10039,-73.936804,40.824408
5284,PROMISE ACADEMY 1 H.S.,Charter,School,245 WEST 129TH STREET  5TH FLOOR,10027,-73.947025,40.811839
5286,IS 286 R.M.L.A.,Public,School,509 WEST 129TH STREET,10027,-73.955267,40.815318
5302,KAPPA IV  M302,Public,School,6 EDGECOMBE AVENUE,10030,-73.947624,40.817333
5318,THURGOOD MARSHALL LOWER SCH,Public,School,282 WEST 151st STREET,10039,-73.938058,40.826068
5341,PROMISE ACADEMY II M.S.,Charter,School,35 EAST 125TH STREET,10035,-73.941175,40.806055
5362,COLUMBIA SECONDARY SCHOOL,Public,School,425 WEST 123RD STREET,10027,-73.955852,40.810535
5365,THURG MARSHAL ACAD LRNG SOC CH,Public,School,200-214 WEST 135 STREET,10030,-73.944252,40.815441
5367,ACADEMY FOR SOCIAL ACTION,Public,School,509 WEST 129TH STREET,10027,-73.955267,40.815318
5369,U.A.SCH FOR PERFORMING ARTS,Public,School,509 WEST 129 STREET,10027,-73.955267,40.815318
5384,SUCCESS ACAD HARLEM N.C. MS,Charter,School,175 WEST 134TH STREET,10030,-73.943151,40.814293
5385,SUCCESS ACAD-NORTH WEST-MS,Charter,School,509 WEST 129TH STREET,10027,-73.955267,40.815318
5403,MOTT HALL PS/IS 223,Public,School,71-111 CONVENT AVE,10027,-73.95281,40.81545
5417,MANHATTAN SCHOOL OF MUSIC,Nonsectarian,School,120 CLAREMONT AV,10027,-73.961767,40.81254
5440,P138M @ P030M,Public,School,144-176 EAST 128 ST,10035,-73.935739,40.80609
5445,KIPP STAR COLLEGE PREP CHARTER,Charter,School,433 WEST 123RD STREET,10027,-73.955999,40.810598
5450,P751M @ TEACHERS COLLEGE,Public,School,525 WEST 120 STREET,10027,-73.960037,40.809782
5455,HARLEM VILLAGE ACADEMY,Charter,School,244 WEST 144TH STREET,10030,-73.940977,40.821463
5463,P751M @ PARA TRAINING,Public,School,144-176 EAST 128 STREET,10035,-73.935739,40.80609
5481,DEMOCRACY PREP HARLEM-ELEM,Charter,School,2005 MADISON AVENUE,10035,-73.939346,40.807347
5487,P226M @P826 GOODWILL INDUST,Public,School,2196 5TH AVENUE,10037,-73.938212,40.812133
5499,FREDERICK DOUGLAS ACAD. HS,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,10039,-73.936935,40.824235
5514,NEW DESIGN MS,Public,School,625 WEST 133RD STREET,10027,-73.956483,40.819093
5517,TEACHERS COLLEGE ELEMENTARY,Public,School,168 MORNINGSIDE AVENUE,10027,-73.953408,40.812453
5534,SUCCESS ACADEMY HARLEM 2,Charter,School,144 EAST 128TH STREET,10035,-73.935739,40.80609
5548,WEST SIDE HS ANNEX,Public,School,22 EAST 128 STREET,10035,-73.940109,40.80792
5551,MOTT HALL HIGH SCHOOL,Public,School,6 EDGECOMBE AVENUE,10030,-73.947624,40.817333
5563,DEMOCRACY PREP CHARTER SCH MS,Charter,School,2230 5TH AVENUE,10037,-73.937414,40.813226
5565,HARLEM RENAISSANCE HS,Public,School,22 EAST 128 STREET,10035,-73.940109,40.80792
5573,RESTART@ FRIENDS OF ISLAND ACA,Public,School,127 WEST 127TH STREET,10027,-73.945433,40.809548
5616,PROMISE ACADEMY 1 M.S.,Charter,School,245 WEST 129TH STREET  4TH FLOOR,10027,-73.947025,40.811839
5617,PROMISE ACADEMY 1 LOWER ELEM,Charter,School,245 WEST 129TH STRRET  2ND FLOOR,10027,-73.947025,40.811839
5621,DEMOCRACY PREP HARLEM CHARTER,Charter,School,207 WEST 133TH STREET,10030,-73.945199,40.814338
5634,CITY HALL ACADEMY,Public,Office,425 WEST 130 STREET,10027,-73.951862,40.814703
5651,ST BENEDICT DAY NURSERY,Parochial,School,21 WEST 124TH STREET,10027,-73.943488,40.806148
5350,CHOIR ACADEMY OF HARLEM,Public,School,2005 MADISON AVE,10035,-73.939346,40.807347
5653,DEMOCRACY PREP CHARTER SCH HS,Charter,School,222 WEST 134th STREET,10030,-73.945153,40.814941
5660,P2G @ GOSO,Public,School,91 EAST 116TH STREET,10029,-73.943643,40.799577
5661,HARLEM VILLAGE ACAD.ELEM,Charter,School,74 WEST 124TH STREET,10027,-73.945152,40.806653
5664,PROMISE ACADEMY II H.S.,Charter,School,35 EAST 125TH STREET,10035,-73.941175,40.806055
5666,FAMILY WELCOME CENTER,Public,Office,388 WEST 125TH STREET  7TH FLOOR,10027,-73.953639,40.811113
5667,THE FELLOWSHIP OF LEARNING,Christian,School,9 WEST 130TH STREET,10037,-73.940523,40.809921
5668,P2G @ HARLEM RENAISSANCE HS,Public,School,22 EAST 128TH STREET,10035,-73.940109,40.80792
5410,U.A.INST FOR NEW TECHNOLOGIES,Public,School,509 WEST 129TH STREET,10027,-73.955267,40.815318
5669,P2G @ YOUTH BUILD MANHATTAN,Public,School,669 LENOX AVENUE,10037,-73.937173,40.819433
5676,GROVE SCH OF ENGINEERING C.C.,Public,School,140TH STREET & CONVENT AVENUE,10031,-73.948541,40.821487
5682,SUCCESS ACADEMY HARLEM 5,Charter,School,301 WEST 140TH STREET,10030,-73.944384,40.819834
5684,PROMISE ACAD II LOWER ELEM,Charter,School,2005 MADISON AVENUE,10035,-73.939346,40.807347
5686,KIPP INFINITY ELEM.,Charter,School,625 WEST 133RD STREET   3RD FLOOR,10027,-73.956483,40.819093
5688,ST HOPE ACADEMY CHARTER SCHOOL,Charter,School,222 WEST 134 STREET,10030,-73.945153,40.814941
5692,"HS FOR MATH,SCI & ENG. @ C.C.",Public,School,240 CONVENT AVENUE,10031,-73.94919,40.820772
5709,VILLAGE ACADEMY HIGH SCHOOL,Charter,School,35 WEST 124TH STREET,10027,-73.943892,40.806316
5727,STAR ELEMENTARY HARLEM,Charter,School,625 WEST 133RD STREET,10027,-73.956483,40.819093
5647,CSE 10,Public,Office,388 WEST 125TH STREET,10027,-73.953639,40.811113
5733,GREAT TOMORROWS USA ELEM/MID,Christian,School,38 WEST 123 STREET,10027,-73.945483,40.805962
5752,ST ALOYSIUS SCHOOL,Parochial,School,223 WEST 132ND STREET,10027,-73.945954,40.813842
5754,ST CHARLES BORROMEO SCH,Parochial,School,214 WEST 142ND STREET,10030,-73.941304,40.819971
5755,ST MARKS EVANGELIST SCH,Parochial,School,55 WEST 138TH STREET,10037,-73.938086,40.815552
5775,THE KINGS ACADEMY,Nonsectarian,School,2341 THIRD AVE,10035,-73.934701,40.805049
5819,JEWISH BD OF FAM & CHILD SER,Nonsectarian,School,34 WEST 139TH STREET,10037,-73.937006,40.815745
5858,KIPP INFINITY CHARTER MS,Charter,School,625 WEST 133RD STREET,10027,-73.956483,40.819093
5868,NEW BROADWAY HOTEL STH,Public,Office,433 WEST 123 STREET,10027,-73.955999,40.810598
5887,ALC @ CHOIR ACAD,Public,School,2005 MADISON AVENUE LEVEL B,10035,-73.939346,40.807347
5888,CITY COLL-STEM INSTITUTE,Nonsectarian,School,160 CONVENT AVENUE,10031,-73.950311,40.819232
5912,THE CHILDREN'S STORE FRONT,Nonsectarian,School,57 EAST 129 STREET,10035,-73.938192,40.808124
5979,NATIONAL DANCE INSTITUTE   S,Other Religion,School,217 WEST 147TH STREET,10039,-73.938869,40.823342
5994,JACKIE ROBINSON ALT LRNG SITE,Public,Office,181 WEST 135 STREET,10030,-73.942795,40.815021
6000,DISTRICT OFFICE #6,Public,Office,4360 BROADWAY - 4TH FLOOR,10033,-73.933958,40.853431
6002,RESTART @ GEORGE WASHINGTON HS,Public,School,549 AUDOBON AVENUE,10040,-73.926962,40.855918
6003,Amber Charter School II,Charter,School,652 West 187th Street,10033,-73.932537,40.853696
6004,PS 4,Public,School,500 WEST 160 ST,10032,-73.941129,40.834831
6005,PS 5,Public,School,3703 10 AVENUE,10034,-73.922634,40.85919
6006,School in the Square,Charter,School,120 Wadsworth Avenue,10033,-73.935959,40.848654
6007,OFFICE OF ARTS -SPECIAL PROJ.,Public,Office,4360 BROADWAY,10033,-73.933958,40.853431
6008,PS 8,Public,School,465 WEST 167 STREET,10032,-73.936744,40.838987
6009,THE EQUITY PROJECT CHARTER SCH,Charter,School,4280 BROADWAY,10033,-73.935363,40.85087
6018,PS 18,Public,School,4124 9 AVENUE,10034,-73.911607,40.871311
6028,PS 28,Public,School,475 WEST 155TH STREET,10032,-73.942087,40.83129
6048,PS 48,Public,School,4360 BROADWAY,10033,-73.933958,40.853431
6052,IS 52,Public,School,650 ACADEMY STREET,10034,-73.924924,40.866018
6068,KIPP NYC WASH HEIGHTS ACAD SCH,Charter,School,21 JUMEL PLACE,10032,-73.936078,40.839262
6098,PS 98 SHORACK POCK ELEM SCH,Public,School,512 WEST 212TH STREET,10034,-73.917097,40.867754
6100,Neighborhood Charter School,Charter,School,421 West 145th Street,10031,-73.945375,40.824391
6103,DOS PUENTES ELEMENTARY SCHOOL,Public,School,185 WADSWORTH AVENUE,10033,-73.934291,40.850586
6115,PS 115 ALEXANDER HUMBOLT,Public,School,586 WEST 177TH STREET,10033,-73.935244,40.84647
6128,PS 128,Public,School,560 WEST 169TH STREET,10032,-73.938545,40.84125
6132,PS 132,Public,School,185 WADSWORTH AVENUE,10033,-73.934291,40.850586
6143,JHS 143,Public,School,515 WEST 182ND STREET ROOM 104,10033,-73.930992,40.849016
6152,PS 152,Public,School,93 NAGLE AVENUE,10040,-73.927945,40.860323
6153,PS 153,Public,School,1750 AMSTERDAM AVENUE,10031,-73.946937,40.826326
6173,PS 173,Public,School,306 FORT WASHINGTON AVENUE,10033,-73.940371,40.845445
6178,PS 178,Public,School,12-18 ELLWOOD STREET,10040,-73.927879,40.859209
6187,PS/MS 187,Public,School,349 CABRINI BLVD,10040,-73.937015,40.856639
6189,PS 189,Public,School,2580 AMSTERDAM AVENUE,10040,-73.927862,40.852435
6192,PS 192 JACOB N.SCHIFF ELEM SCH,Public,School,500 WEST 138TH STREET,10031,-73.951195,40.820884
6209,HAMILTON GRANGE MIDDLE SCHOOL,Public,School,500 WEST 138TH STREET,10031,-73.951195,40.820884
6210,PS/IS 210 21ST CENTURY ACADEMY,Public,School,501 WEST 152nd STREET,10031,-73.944738,40.829898
6211,"EARLY COLL HEALTH,INFO & TECH",Public,School,650 ACADEMY STREET,10034,-73.924924,40.866018
6218,IS 218,Public,School,4600 BROADWAY,10040,-73.930565,40.860767
6265,SUCCESS ACAD-WASHINGTON HEIGHT,Charter,School,701 FORT WASHINGTON AVENUE,10040,-73.935346,40.857627
6278,PS 278 PAULA HEDBAVNY SCHOOL,Public,School,421 W 219 STREET,10034,-73.912108,40.871317
6293,CITY COLL ACAD OF ARTS MS 293,Public,School,4600 BROADWAY,10040,-73.930565,40.860767
6311,Amistad,Public,School,4862 Broadway,10034,-73.923916,40.866633
6314,MUSCOTA NEW SCHOOL  (PS 314),Public,School,4862 BROADWAY,10034,-73.923916,40.866633
6319,MS 319 MARIA TERESA MIRABEL,Public,School,21 JUMEL PLACE,10032,-73.936078,40.839262
6322,MS 322,Public,School,4600 BROADWAY,10040,-73.930565,40.860767
6324,MS 324,Public,School,21 JUMEL PLACE,10032,-73.936078,40.839262
6325,PS 325,Public,School,500 WEST 138TH STREET,10031,-73.951195,40.820884
6328,MS 328,Public,School,401 WEST 164TH STREET,10032,-73.937241,40.836657
6346,COMM.HEALTH ACAD.OF THE HEIGHT,Public,School,504 WEST 158TH STREET,10032,-73.942097,40.833608
6348,WASHINGTON HEIGHTS EXP.LRNG,Public,School,511 WEST 182ND STREET,10033,-73.93089,40.848973
6349,HARBOR HEIGHTS MS,Public,School,306 FT.WASHINGTON AVENUE 4TH FLOOR,10033,-73.940371,40.845445
6353,NEW HEIGHTS ACAD CHARTER SCHL,Charter,School,1818 AMSTERDAM AVENUE,10033,-73.945323,40.828535
6366,PS 366 WASHINGTON HEIGHTS ACAD,Public,School,202 SHERMAN AVENUE,10040,-73.921158,40.865462
6368,M368 HAMILTON HEIGHTS SCHOOL,Public,School,1750 AMSTERDAM AVENUE,10031,-73.946937,40.826326
6411,THE KALISKI SCHOOL,Nonsectarian,School,525 AUDUBON AVENUE,10040,-73.927522,40.855151
6423,HS FOR EXCELLENCE & INNOVATION,Public,School,650 ACADEMY STREET,10033,-73.924924,40.866018
6427,GREGORIO LUPERON PREPARATORY,Public,School,501 WEST 165TH STREET,10032,-73.938584,40.838225
6436,H.S. FOR MEDIA COMMUNICATIONS,Public,School,549 AUDUBON AVENUE,10040,-73.926962,40.855918
6450,P138M @ P048M,Public,School,4360 BROADWAY,10033,-73.933958,40.853431
6462,THE COLLEGE ACADEMY,Public,School,549 AUDUBON AVENUE,10040,-73.926962,40.855918
6467,H.S. FOR LAW & PUBLIC SERVICE,Public,School,549 AUDUBON AVENUE,10040,-73.926962,40.855918
6468,H.S. FOR HEALTH CAREERS & SCI,Public,School,549 AUDUBON AVENUE,10040,-73.926962,40.855918
6485,P138M @ IS 90,Public,School,21 JUMEL PLACE,10032,-73.936078,40.839262
6513,CASTLE BRIDGE ELEM SCHOOL,Public,School,560 WEST 169TH STREET,10032,-73.938545,40.84125
6516,Y.A.B.C @ G.WASHINGTON HS,Public,School,549 AUDUBON AVENUE,10040,-73.926962,40.855918
6528,IS 528 BEA FULLER RODGERS SCH,Public,School,180 WADSWORTH AVENUE,10033,-73.934576,40.850548
6558,INWOOD ACAD FOR LEADERSHIP-MS,Charter,School,108 COOPER ST,10034,-73.920888,40.868891
6571,P2G @ YOUTH BUILD,Public,School,45 WADSWORTH AVENUE,10033,-73.937534,40.846149
6577,A. PHILIP RANDOLPH CAMPUS HS,Public,School,443 WEST 135 STREET,10031,-73.950299,40.818251
6578,THE EQUITY PROJECT CHARTER SCH,Charter,School,549 AUDUBON AVENUE TRAILER 30,10040,-73.926962,40.855918
6612,HERBERT G. BIRCH ANNEX,Nonsectarian,School,554 FORT WASHINGTON AVE,10033,-73.93716,40.853887
6674,ST MATTHEWS LUTHERAN SCH ANNEX,Christian,School,178 BENNETT AVENUE,10040,-73.934166,40.856031
6685,INWOOD ACAD LEADERSHIP CHARTER,Charter,School,433 WEST 204TH STREET,10040,-73.919062,40.862121
6687,KIPP STAR ELEMENTARY SCHOOL,Charter,School,586 WEST 177TH STREET,10033,-73.935244,40.84647
6701,GOOD SHEPHERD SCHOOL,Parochial,School,620 ISHAM STREET,10034,-73.920547,40.869156
6702,ST ELIZABETH SCHOOL,Parochial,School,612 WEST 187TH STREET,10033,-73.931456,40.853159
6326,MS 326,Public,School,401 WEST 164TH STREET,10032,-73.937241,40.836657
6708,ST SPYRIDON PAROCHIAL SCH,Nonsectarian,School,120 WADSWORTH AVENUE,10033,-73.935959,40.848654
6710,RABBI S.R. HIRSCH YESH,Yeshiva,School,85-93 BENNETT AVENUE,10033,-73.935291,40.852935
6716,YESHIVA UNIVERSITY HS BOYS,Yeshiva,School,2540 AMSTERDAM AVENUE,10033,-73.928681,40.851328
6749,INCARNATION SCHOOL,Parochial,School,570 WEST 175TH STREET,10033,-73.935902,40.845053
6750,OUR LADY OF LOURDES SCH,Parochial,School,468 WEST 143RD STREET,10031,-73.948052,40.823634
6752,OUR LADY QUEEN OF MARTYRS SCH,Parochial,School,71 ARDEN STREET,10040,-73.927832,40.863223
6759,ST ROSE OF LIMA,Parochial,School,517 WEST 164TH STREET,10032,-73.939455,40.837584
6765,MANHATTAN CHRISTIAN ACADEMY,Christian,School,401 WEST 205 STREET,10034,-73.918241,40.862584
6803,THE MICHAELS JUMEL SCHOOL,Nonsectarian,School,800 RIVERSIDE DRIVE,10032,-73.946721,40.834909
6805,SCHOOL ON THE HILL,Christian,School,421 WEST 145TH STREET,10031,-73.945375,40.824391
6835,NORTHEASTERN ACADEMY,Christian,School,532 WEST 215TH STREET,10034,-73.917413,40.870385
6877,COMMUNITY CITYWIDE ED COUNCIL,Public,Office,4360 BROADWAY  4TH FL  ROOM 430,10033,-73.933958,40.853431
6886,P186X  @ NY PSYCH. INSTITUTE,Public,School,1051 RIVERSIDE DRIVE,10032,-73.944175,40.842402
6887,ALC- HIGHBRIDGE,Public,School,80 AUDUBON AVENUE,10032,-73.937962,40.841216
6888,REGION OFFICE TEN,Public,Office,4360 BROADWAY,10033,-73.933958,40.853431
6889,ALC-LAURELL HILL,Public,School,601 WEST 183RD STREET  3RD FLOOR,10032,-73.932993,40.850657
6966,DIST.OFF. LYFE PROG.CITYWIDE,Public,Office,4360 BROADWAY  ROOM 424,10033,-73.933958,40.853431
6971,ALC-WASHINGTON HEIGHTS,Public,School,601 WEST 183RD STREET  3RD FLOOR,10032,-73.932993,40.850657
6986,CFN # 407,Public,Office,4360 BROADWAY  4TH FLOOR,10033,-73.933958,40.853431
6987,CFN # 403,Public,Office,4360 BROADWAY  ROOM 529,10033,-73.933958,40.853431
6988,DIST-79 PROGRAMS,Public,Office,4360 BROADWAY  ROOM 427,10033,-73.933958,40.853431
6989,LANG YOUTH MEDICAL PROG.  S,Public,Office,122 WEST 168  STREET,10032,-73.936602,40.839448
6994,ALC-CLOISTERS,Public,School,601 WEST 183RD STREET  2ND FLOOR,10032,-73.932993,40.850657
6999,CUNY /OAA SIELP OF NEW YORK  S,Public,Office,138TH STREET & CONVENT AVENUE,10031,-73.949998,40.820042
7001,PS 1,Public,School,335 EAST 152ND STREET,10451,-73.918989,40.818889
7002,P469X @ P 855X,Public,School,577 EAST 139 STREET,10454,-73.916378,40.807334
7003,ACADEMIC LEADERSHIP CHARTER,Charter,School,470 Jackson Avenue,10455,-73.909709,40.811137
7004,P469X @ P 277,Public,School,519 ST ANN'S AVENUE,10455,-73.913932,40.813597
7005,PS 5,Public,School,564 JACKSON AVENUE,10455,-73.908794,40.813697
7006,Storefront Academy Charter Sch,Charter,School,416 Willis Avenue,10454,-73.919889,40.813034
7007,South Bronx Early Academy Char,Charter,School,639 Saint Ann's Avenue,10455,-73.911847,40.81655
7008,EARLY COLLEGE @ HOSTOS CC (WS),Public,School,475 GRAND CONCOURSE,10451,-73.927845,40.817634
7009,P751M @ FOOD FEST,Public,School,500 EAST 132ND STREET,10454,-73.921864,40.80349
7011,KIPP College Prep High School,Charter,School,201 East 144th Street,10451,-73.926451,40.816163
7012,P2G @ BRONX YOUTH CTR,Public,School,424 EAST 147TH STREET 4TH FL,10455,-73.917762,40.814344
7013,South BX Community Charter HS,Charter,School,890 Washington Avenue,10451,-73.91194,40.823702
7014,P188X@Mott Haven (inclusion),Public,School,730 CONCOURSE VILLAGE WEST,10451,-73.923667,40.822394
7025,PS 25,Public,School,811 EAST 149TH STREET,10455,-73.906036,40.812695
7029,PS 29,Public,School,758 COURTLAND AVENUE,10451,-73.917066,40.821711
7030,PS 30,Public,School,510 EAST 141 STREET,10454,-73.917637,40.809305
7031,PS 31 AT IS 151,Public,School,250 EAST 156 STREET,10455,-73.921688,40.823094
7043,PS 43,Public,School,165 BROWN PLACE,10454,-73.921288,40.806384
7049,PS 49,Public,School,383 EAST 139TH STREET,10454,-73.923066,40.810158
7065,PS 65,Public,School,677 EAST 141 STREET,10454,-73.912684,40.807402
7151,IS 151,Public,School,250 EAST 156TH STREET,10451,-73.921688,40.823094
7154,PS 154,Public,School,333 EAST 135TH STREET,10454,-73.926064,40.808058
7155,P754X @ BX SCH FOR CAREER DEV,Public,School,470 JACKSON AVENUE,10455,-73.909709,40.811137
7157,PS 157,Public,School,757 CAULDWELL AVENUE,10456,-73.908654,40.819272
7161,PS 161,Public,School,628 TINTON AVENUE,10455,-73.905424,40.814889
7162,IS 162,Public,School,600 ST ANN'S AVENUE,10455,-73.912498,40.814853
7179,PS 179 SCH. OF INTER.CULTURES,Public,School,468 EAST 140TH STREET,10454,-73.919964,40.809472
7208,NEW VISIONS HS FOR HUMANTIES,Charter,School,455 SOUTHERN BLVD,10455,-73.907195,40.810601
7221,South Bronx Preparatory 221,Public,School,360 EAST 145 STREET,10454,-73.920839,40.813921
7223,MS 223 LAB SCH OF FIN. & TECH,Public,School,360 EAST 145TH STREET,10454,-73.920839,40.813921
7224,MS 224 SCI SCH EXPL & DISCOVER,Public,School,345 BROOK AVENUE,10454,-73.917886,40.810067
7233,FAMILY LIFE ACAD.CHARTER II,Charter,School,296 EAST 140TH STREET,10454,-73.925131,40.811661
7256,HEKETI COMM CHARTER SCHOOL,Charter,School,403 CONCORD AVENUE,10454,-73.909729,40.80901
7259,HEALTH ED.RES. OCCUPATIONS HS,Public,School,455 SOUTHERN BLVD,10455,-73.907195,40.810601
7277,P.S.277,Public,School,519 ST.ANN'S AVENUE,10455,-73.913382,40.813743
7296,SOUTH BX ACAD APPLIED MEDIA,Public,School,778 FOREST AVENUE,10456,-73.90583,40.818847
7298,ACADEMY OF PUBLIC RELATIONS,Public,School,778 FOREST AVENUE,10459,-73.90583,40.818847
7327,M.S.327 (DIST. 9  H.O.),Public,Office,350 GERARD AVENUE,10451,-73.930278,40.815944
7334,INTERNATIONAL COMMUNITY HS,Public,School,345 BROOK AVENUE,10454,-73.917886,40.810067
7339,KIPP NYC COLLEGE PREP-INFINITY,Charter,School,201 EAST 144TH STREET,10451,-73.926451,40.816163
7343,ACAD OF APPLIED MATH & TECH,Public,School,345 BROOK AVENUE,10454,-73.917886,40.810067
7010,RESTART @JILL CHAIFETZ HS,Public,School,778 FOREST AVENUE,10456,-73.90583,40.818847
7357,KIPP NYC COLLEGE PREP-AMP,Charter,School,201 EAST 144TH STREET,10451,-73.926451,40.816163
7359,CONCOURSE VILLAGE ELEM SCHOOL,Public,School,750 CONCOURSE VILLAGE WEST,10451,-73.923225,40.823145
7364,SOUTH BRONX CLASSICAL II,Charter,School,333 EAST 135TH STREET,10454,-73.926064,40.808058
7369,YOUNG LEADERS ELEM SCHOOL,Public,School,468 EAST 140TH STREET,10454,-73.919964,40.809472
7379,JILL CHAIFETZ TRANSFER SCHOOL,Public,School,778 FOREST AVENUE,10456,-73.90583,40.818847
7381,BRONX HAVEN HS,Public,School,333 EAST 151ST STREET,10451,-73.919959,40.81833
7388,BRILLA COLLEGE PREP CHARTER,Charter,School,413 EAST 144TH STREET,10454,-73.91952,40.81274
7401,HOSTOS-LINCOLN ACAD HS/IS,Public,School,600 ST ANN'S AVENUE,10455,-73.912498,40.814853
7412,UNIVERSITY HEIGHTS HS,Public,School,701 ST. ANN'S AVENUE,10455,-73.911081,40.818379
7434,P168X @ I203X,Public,School,339 MORRIS AVENUE,10451,-73.925537,40.813489
7444,"P754X @ BX,LAW GOV. & JUSTI",Public,School,244 EAST 163 STREET,10451,-73.918728,40.827538
7449,P017X @ 07298,Public,School,778 FOREST AVENUE,10456,-73.90583,40.818847
7454,P723X @ BX CHILD PSYCH & COMMM,Public,School,595 GERARD AVENUE,10452,-73.928783,40.820465
7456,Y.A.B.C.@ ALFRED E. SMITH HS,Public,School,333 EAST 151ST STREET,10451,-73.919959,40.81833
7458,BX CHARTER SCH.FOR CHILDREN,Charter,School,388 WILLIS AVENUE,10454,-73.920308,40.812467
7469,P176X @ BRONX YMCA,Public,School,468 EAST 140TH STREET,10454,-73.919964,40.809472
7470,PASSAGES ACADEMY (BX),Public,School,426 WILLIS AVENUE,10454,-73.919727,40.813253
7471,AMERICAN DREAM CHARTER SCHOOL,Charter,School,510 EAST 141 STREET,10454,-73.917637,40.809305
7475,P017X @ P043X,Public,School,165 BROWN PLACE,10454,-73.921288,40.806384
7480,P017X @ P161X,Public,School,628 TINTON AVE,10455,-73.905424,40.814889
7488,POWERS STH PROG.-C/O PS 30,Public,Office,510 EAST 141 STREET,10454,-73.917637,40.809305
7492,P723X @ PS 49X,Public,School,383 EAST 139 ST,10454,-73.923066,40.810158
7494,P352X @ P179X,Public,School,468 EAST 140 ST,10454,-73.919964,40.809472
7497,P010X  @ I162X,Public,School,600 ST ANN'S AVE,10455,-73.912498,40.814853
7498,HEALTH OPPORTUNITIES HS,Public,School,350 GERARD AVE,10451,-73.930278,40.815944
7499,COMM.SCH FOR SOCIAL JUSTICE,Public,School,350 GERARD AVENUE,10451,-73.930278,40.815944
7519,ALFRED E. SMITH HS,Public,School,333 EAST 151ST STREET,10451,-73.919959,40.81833
7520,MOTT HAVEN VILLAGE PREP SCHOOL,Public,School,701 ST ANN'S AVENUE,10455,-73.911081,40.818379
8006,P035M @ GED-ADOL SKILLS CTR,Public,School,975 KELLY STREET,10459,-73.895981,40.822041
7522,BX DESIGN AND CONST.ACADEMY,Public,School,333 EAST 151ST STREET,10451,-73.919959,40.81833
7527,BRONX LEADERSHIP ACAD.II H.S.,Public,School,730 CONCOURSE VILLAGE WEST,10451,-73.923667,40.822394
7534,UNIVERSITY PREP CHARTER HS,Charter,School,600 ST. ANN'S AVENUE,10455,-73.912498,40.814853
7547,THE NEW EXPLORERS HS,Public,School,730 CONCOURSE VILLAGE WEST,10451,-73.923667,40.822394
7548,ACADEMY FOR CAREER IN SPORTS,Public,School,730 CONCOURSE VILLAGE WEST,10451,-73.923667,40.822394
7551,THE BRONX ACADEMY OF LETTERS,Public,School,339 MORRIS AVENUE,10451,-73.925537,40.813489
7554,NYC MONTESSORI CHARTER SCHOOL,Charter,School,423 EAST 138TH STREET,10454,-73.921895,40.808785
7557,MOTT HAVEN COMM H.S.,Public,School,455 SOUTHERN BLVD,10455,-73.907195,40.810601
7385,PERFORMANCE SCHOOL,Public,School,750 CONCOURSE VILLAGE WEST,10451,-73.923225,40.823145
7560,KIPP CHARTER ACADEMY,Charter,School,250 EAST 156 STREET  ROOM 418,10451,-73.921688,40.823094
7571,P2G @ BRONX NEON,Public,School,198 EAST 161TH STREET,10451,-73.921475,40.826403
7573,RESTART MS @ MOTT HAVEN HS,Public,School,455 SOUTHERN BLVD,10455,-73.907195,40.810601
7587,"NYC CHARTER HS AGR,ENG & CONST",Charter,School,838 BROOK AVENUE,10451,-73.910785,40.821982
7591,KIPP NYC COLL PREP-KIPP ACAD,Charter,School,201 EAST 144TH STREET,10451,-73.926451,40.816163
7597,MOTT HAVEN CHARTER SCHOOL,Charter,School,170 BROWN PLACE,10454,-73.921061,40.806345
7644,P017X @ P 385,Public,School,750 CONCOURSE VILLAGE WEST,10451,-73.923225,40.823145
7657,KIPP ACADEMY ELEM,Charter,School,730 CONCOURSE VILLAGE WEST,10451,-73.923667,40.822394
7661,P754X @ P 379,Public,School,778 FOREST AVENUE,10456,-73.90583,40.818847
7668,EAST SIDE HOUSE SETTLEMENT,Nonsectarian,School,201 ST ANN'S AVENUE,10454,-73.918269,40.80586
7672,FAMILY LIFE ACADEMY SCHOOL 111,Charter,School,296 EAST 140TH STREET,10454,-73.925131,40.811661
7682,SUCCESS ACADEMY BRONX 1,Charter,School,339 MORRIS AVENUE 2nd FLOOR,10451,-73.925537,40.813489
7684,ACADEMIC LEADERSHIP CHARTER,Charter,School,677 EAST 141 STREET,10454,-73.912684,40.807402
7687,P017X @ I 298,Public,School,778 FOREST AVENUE,10456,-73.90583,40.818847
7688,SOUTH BRONX CHARTER SCHOOL,Charter,School,164 BRUCKNER BLVD,10454,-73.918043,40.802966
7697,P188X@ H790 MOTT HAVEN HS,Public,School,730 CONCOURSE VILLAGE WEST,10451,-73.923667,40.822394
7701,IMMACULATE CONCEPTION SCH,Parochial,School,378 EAST 151ST STREET,10455,-73.917991,40.817647
7704,ST ANSELM SCHOOL,Parochial,School,685 TINTON AVENUE,10455,-73.90525,40.816319
7706,ST LUKE SCHOOL,Parochial,School,608 EAST 139TH STREET,10454,-73.915729,40.806866
